🕘️更新时间,#genre#
2026-09-04 11:25:54,https://live2.rxip.sc96655.com/live/CCTV-1H265_4000.m3u8?E=&U=&A=&K=&P=&S=

央视卫视,#genre#
CCTV1,https://live2.rxip.sc96655.com/live/CCTV-1H265_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV1,http://124.77.202.8:49155/608807420
CCTV1,http://139.224.111.181:3000/608807420
CCTV1,http://39.107.95.182:3000/608807420
CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV2,https://live2.rxip.sc96655.com/live/CCTV-2H265_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV2,http://124.77.202.8:49155/631780532
CCTV2,http://139.224.111.181:3000/631780532
CCTV2,http://39.107.95.182:3000/631780532
CCTV2,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/1.m3u8?
CCTV3,https://live2.rxip.sc96655.com/live/CCTV-3H265_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV3,http://124.77.202.8:49155/624878271
CCTV3,http://139.224.111.181:3000/624878271
CCTV3,http://39.107.95.182:3000/624878271
CCTV3,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV4,https://live2.rxip.sc96655.com/live/CCTV-4H265_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV4,http://124.77.202.8:49155/631780421
CCTV4,http://139.224.111.181:3000/631780421
CCTV4,http://39.107.95.182:3000/631780421
CCTV4,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8?
CCTV5,https://live2.rxip.sc96655.com/live/CCTV-5H265_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV5,http://124.77.202.8:49155/641886683
CCTV5,http://139.224.111.181:3000/641886683
CCTV5,http://39.107.95.182:3000/641886683
CCTV5,http://112.30.73.119:9901/tsfile/live/0005_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+,https://live2.rxip.sc96655.com/live/CCTV-5plusH265_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV5+,http://124.77.202.8:49155/641886773
CCTV5+,http://139.224.111.181:3000/641886773
CCTV5+,http://39.107.95.182:3000/641886773
CCTV5+,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226894/1.m3u8?
CCTV6,https://live2.rxip.sc96655.com/live/CCTV-6H265_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV6,http://124.77.202.8:49155/624878396
CCTV6,http://139.224.111.181:3000/624878396
CCTV6,http://39.107.95.182:3000/624878396
CCTV6,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226468/1.m3u8?
CCTV7,https://live2.rxip.sc96655.com/live/CCTV-7H265_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV7,http://124.77.202.8:49155/673168121
CCTV7,http://139.224.111.181:3000/673168121
CCTV7,http://39.107.95.182:3000/673168121
CCTV7,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226946/1.m3u8?
CCTV8,https://live2.rxip.sc96655.com/live/CCTV-8H265_4000.m3u8?E=&U=&A=&K=&P=&S=
CCTV8,http://124.77.202.8:49155/624878356
CCTV8,http://139.224.111.181:3000/624878356
CCTV8,http://39.107.95.182:3000/624878356
CCTV8,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226485/1.m3u8?
